bucket_start,bucket_label,acousticness_mean,acousticness_median,acousticness_std,danceability_mean,danceability_median,danceability_std,energy_mean,energy_median,energy_std,instrumentalness_mean,instrumentalness_median,instrumentalness_std,liveness_mean,liveness_median,liveness_std,loudness_mean,loudness_median,loudness_std,speechiness_mean,speechiness_median,speechiness_std,tempo_mean,tempo_median,tempo_std,valence_mean,valence_median,valence_std,track_count,year
1980,1980-1984,0.431148701416925,0.421,0.3191206886554575,0.5623146323726413,0.58,0.16214775411185084,0.538725895931412,0.537,0.2304918504171879,0.08435910468672254,3.72e-05,0.22578678308640152,0.23358988785547516,0.15,0.20181287322642977,-11.28161484288284,-10.696,4.719605925285846,0.1573073142725916,0.0447,0.2701463948127745,118.48312037355991,117.535,29.593693450146095,0.5810590052436178,0.606,0.2549068520828114,26127,1980
1985,1985-1989,0.4004722316150388,0.366,0.3134132962285688,0.5598200794432812,0.578,0.15964003512292171,0.5538040561029683,0.5555000000000001,0.23949249973000114,0.07537744450209385,2.92e-05,0.21324802137173401,0.2236371739130435,0.148,0.19366523261364083,-11.340446268013302,-10.942,4.621142317590125,0.11846853060721764,0.0404,0.22762713122121292,118.55083344623722,117.7075,29.00833100216252,0.571337371905407,0.59,0.25649825220536293,32476,1985
1990,1990-1994,0.38757038587989556,0.344,0.3148094763602784,0.5652108726123403,0.581,0.15990429010239438,0.5468283410828638,0.544,0.23726537355158306,0.07239229621409922,2.13e-05,0.21021467977531172,0.21465129558884155,0.138,0.18925491580468137,-11.233473107049608,-10.832,4.4243973471160505,0.09404960835509138,0.0402,0.1747448285812787,119.52528649168613,117.711,29.763937236042114,0.5678497545691906,0.584,0.26022735257503793,36385,1990
1995,1995-1999,0.351424391260922,0.281,0.30785538264178036,0.5775088581885882,0.593,0.16075355879901498,0.5911407793428819,0.598,0.2327947025194059,0.06894781503035945,1.22e-05,0.208640743163591,0.21692256119491402,0.138,0.19294791800249464,-9.639611081727208,-8.945,4.177778425065165,0.09874892631222629,0.0416,0.17160580834743056,119.52520500560645,116.991,29.937898348549762,0.5658049032094273,0.584,0.2601533745362483,47267,1995
2000,2000-2004,0.31965603067233844,0.23,0.29835014058480447,0.5894637244475954,0.6,0.15881076884125456,0.6359152899858207,0.661,0.2245843532540748,0.05505525230798771,4.97e-06,0.1885462868968024,0.21249042301784238,0.135,0.1906806505466656,-7.905932825239276,-7.1815,3.754583451881803,0.08170061739335933,0.0419,0.12017581582546971,120.55576796053408,119.1585,29.75333881915587,0.5640217685808815,0.573,0.25421453278572803,33852,2000
2005,2005-2009,0.3077412046953423,0.21,0.2970558037533359,0.5908294465073392,0.599,0.15593571644914186,0.6591689763251676,0.69,0.21799352091383808,0.05552051577865278,2.71e-06,0.18992579780431576,0.20857367981658237,0.133,0.1856239466642675,-7.244017195404591,-6.521,3.5219651001293037,0.07828175044234556,0.0421,0.10823755408860466,122.08465287711518,121.786,29.148486634331046,0.5618794387818676,0.568,0.25189555878136677,40127,2005
2010,2010-2014,0.28840306322355524,0.168,0.29965264575350214,0.5936028020831137,0.602,0.15243282676145503,0.6674342509730333,0.706,0.22335666248358357,0.088281299788526,2.9e-06,0.2411148586511308,0.2105549663707858,0.133,0.1849532518374343,-7.188314090535327,-6.405,3.714447588282926,0.08052514284509477,0.0454,0.09367372943792024,122.61785310674904,124.976,28.372470533601714,0.5336546054101922,0.533,0.25284239794001273,47429,2010
2015,2015-2019,0.2863206035980587,0.182,0.2874546263643663,0.6223640491641719,0.638,0.16094467003041343,0.6507193429814612,0.676,0.21377231338185815,0.09167616221536287,2.26e-06,0.2488113601468953,0.20139399951653994,0.127,0.17368402910169203,-7.376512244556425,-6.607,3.970344395960522,0.10030514327153722,0.0551,0.10567387681032485,121.55784291266107,122.044,28.933826040611084,0.49439304027594416,0.487,0.24488211881755154,53779,2015
2020,2020-2024,0.2693933778616114,0.23,0.25819743962401903,0.6458993680884676,0.647,0.14973629696746793,0.6335044359304897,0.621,0.18829253096962031,0.09960356347551343,1.07e-05,0.2617801251041076,0.18545603791469195,0.13,0.15704564248139724,-7.716701990521327,-7.27,3.51432012243322,0.10403715007898894,0.0553,0.1049110876288776,121.80135393364928,118.976,26.571313844845303,0.5075926982622433,0.55,0.22313559648352885,15825,2020
2025,2025-2025,0.252,0.252,0.0,0.563,0.563,0.0,0.588,0.588,0.0,5.58e-05,5.58e-05,0.0,0.13,0.13,0.0,-9.0655,-9.0655,0.0,0.0432,0.0432,0.0,117.643,117.643,0.0,0.551,0.551,0.0,462,2025
